ID,SMILES,Standard Relation,IC50,pIC50,bioactivity
CHEMBL1398812,O=[N+]([O-])c1ccc(N2CCCCCC2)c2nonc12,'=',57858,4.24,inactive
CHEMBL1399400,O=C1C2C(c3ccccc3)C=CC(c3ccccc3)C2C(=O)N1c1ccncc1,'=',62430,4.21,inactive
CHEMBL1399957,CCC(C)Sc1ccc(-c2nc3cnccn3c2NC2CCCCC2)cc1.O=C(O)C(F)(F)F,'=',3685,5.43,active
CHEMBL140,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,'=',7751,5.11,active
CHEMBL1400031,Fc1ccccc1-c1nnc(S)n1Cc1ccccc1,'=',4136,5.38,active
CHEMBL1401040,Cc1ccc(NC(=O)Cn2ncc(Cl)c(Cl)c2=O)cc1S(=O)(=O)N1CCCCC1,,49756,,inactive
CHEMBL1401466,O=C(C1=C(O)C(=O)N(Cc2cccnc2)C1c1ccccn1)c1ccccc1,'=',2170,5.66,active
CHEMBL1402332,COc1ccc(CNC(=O)c2nc(S(=O)(=O)Cc3ccccc3)ncc2Cl)cc1,,20995,,inactive
CHEMBL1402778,O=C(CSc1nnc(NC(=O)C2CCCCC2)s1)NCc1ccco1,'=',2232,5.65,active
CHEMBL1403329,Cn1ccnc1Sc1cc(NCCCO)c([N+](=O)[O-])c2nonc12,,18219,,inactive
CHEMBL1404578,COc1ccc(OC)c(NC(=O)c2nc(S(=O)(=O)Cc3ccccc3)ncc2Cl)c1,'=',6715,5.17,active
CHEMBL1405717,N#C/C(C(=O)Nc1ccc(Cl)cc1)=C(/S)Nc1ccccc1,,49751,,inactive
CHEMBL1405830,Nc1c(C(=O)N2CCCC2)sc2nc(-c3ccccc3)ccc12,'=',12441,4.91,inactive
CHEMBL1406130,O=c1c2cc(F)ccc2sn1-c1ccccc1,'=',23047,4.64,inactive
CHEMBL1406758,N#C/C(=C/c1ccc(-c2ccc(S(N)(=O)=O)cc2)o1)c1nc2ccccc2s1,'=',5086,5.29,active
CHEMBL1407961,CCC1CCCCN1S(=O)(=O)c1ccc(NC(=O)c2nc(S(C)(=O)=O)ncc2Cl)cc1,'=',11063,4.96,inactive
CHEMBL1409608,CCOc1ccc(/C=C2\CCCc3c2nc2ccccc2c3C(=O)O)cc1OC,'=',36428,4.44,inactive
CHEMBL1409883,CCCNC(=O)c1nnsc1[S+]([O-])c1ccc(Cl)cc1,'=',15601,4.81,inactive
CHEMBL1410338,Cc1ccc(-c2nnc(S)n2-c2ccccc2)cc1,'=',10063,5,inactive
CHEMBL1410659,CC(=O)Nc1ccc(N2C(=O)c3cccc4c(O)ccc(c34)C2=O)cc1,'=',12602,4.9,inactive
CHEMBL1411388,CC(=O)Nc1ccc(S(=O)(=O)N2c3ccccc3C(C)=CC2(C)C)cc1,,49744,,inactive
CHEMBL1411914,O=Cc1c(O)nc2ccccc2c1NCc1ccc(Cl)cc1,'=',9800,5.01,active
CHEMBL1412067,CN1C(=O)c2cccc3c(N)ccc(c23)C1=O,'=',7167,5.14,active
CHEMBL1413510,Nc1ccc2c3c(cccc13)C(=O)N(c1ccccc1)C2=O,'=',10854,4.96,inactive
CHEMBL1413533,COc1ccccc1N1N=C(c2ccc([N+](=O)[O-])cc2)CC1c1ccccc1,'>',59640,,inactive
CHEMBL1413680,O=[N+]([O-])c1cnc(Sc2ccncn2)s1,'>',49691,,inactive
CHEMBL1414311,COc1nn(-c2ccccc2)c(=O)c(Cl)c1Cl,,49730,,inactive
CHEMBL1414554,O=P(O)(O)c1ccccc1OCCCCCOc1ccccc1P(=O)(O)O,'=',862,6.06,active
CHEMBL1414683,CC(C)(C)C(=O)Nc1nnc(SCC(=O)NCc2cccs2)s1,'=',874,6.06,active
CHEMBL1415221,Cn1c(S)nnc1-c1sccc1OCc1ccccc1,'=',1202,5.92,active
CHEMBL1415476,CCCCCCn1c(=O)[nH]c2nc3cc(N)ccc3nc2c1=O,'=',52496,4.28,inactive
CHEMBL1415903,Sc1nnc(-c2ccccc2)n1C1C=CCCC1,'=',4989,5.3,active
CHEMBL1415985,O=C(CN1C(=O)NC2(CCCCC2)C1=O)Oc1ccc2c(C(F)(F)F)cc(=O)oc2c1,'=',3479,5.46,active
CHEMBL1416020,Cc1ccc(C(=O)N/C(=C/c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)NCCCN(C)C)cc1,'=',6546,5.18,active
CHEMBL1416184,O=[N+]([O-])c1c(NCCO)cc(Sc2nc3ccccc3s2)c2nonc12,'=',9167,5.04,active
CHEMBL1416351,COc1ccc2c(Cl)c(C(=O)NCCCn3ccnc3)sc2c1Cl,'>',59640,,inactive
CHEMBL1417212,COc1ccccc1N1N=C(c2cccs2)CC1c1ccccc1,'=',3616,5.44,active
CHEMBL1417970,CCOC(=O)CS(=O)(=O)c1nc(-c2ccc(F)cc2)cc(C(F)(F)F)n1,'=',14423,4.84,inactive
CHEMBL1418079,OCCNc1c2ccccc2nc2c(F)c(F)c(F)c(F)c12,'=',2270,5.64,active
CHEMBL1418162,CC(=O)Oc1cccc(N2C(=O)c3cccc4c([N+](=O)[O-])ccc(c34)C2=O)c1,'=',4497,5.35,active
CHEMBL1418341,Cc1cccc2sc(N(CCCN(C)C)C(=O)CCS(=O)(=O)c3ccccc3)nc12,,49751,,inactive
CHEMBL1418428,Cc1cccc(N2C(=O)/C(=C\c3ccc(OC(F)F)cc3)c3ccccc3C2=O)c1,'=',3901,5.41,active
CHEMBL1418643,COc1cccc(NC(=O)c2nc(S(C)(=O)=O)ncc2Cl)c1,'=',8896,5.05,active
CHEMBL1419367,C=CCn1c(S)nnc1C1CC1,'=',8364,5.08,active
CHEMBL1419637,CCc1cc(=O)oc2cc(C)c(CN3CCCC3)c(O)c12,'=',6955,5.16,active
CHEMBL1419822,Cn1c(=O)[nH]c(=O)c2c1nc([N+](=O)[O-])n2Cc1ccccc1,'>',49797,,inactive
CHEMBL1420142,CN1/C(=C\C=C2/C(=O)Oc3ccccc3C2=O)C(C)(C)c2ccccc21,'=',31469,4.5,inactive
CHEMBL1420325,CS(=O)(=O)c1sc(C#N)c2c1C(=O)CC(c1ccccc1)C2,'=',7079,5.15,active
CHEMBL1422515,CC1CCCC(C)N1C(=O)CSc1nnc(NC(=O)c2cccs2)s1,'=',3920,5.41,active
CHEMBL1423567,COc1cc(/C=C/[N+](=O)[O-])ccc1OC(=O)c1cccnc1,,49761,,inactive
CHEMBL1423602,CSC[C@H](NC(=O)COc1cc2c(c3oc(=O)c(C)c(C)c13)CCC(C)(C)O2)C(=O)O,'=',4210,5.38,active
CHEMBL1423626,C=CCn1c(O)nnc1Sc1ncc([N+](=O)[O-])s1,,41976,,inactive
CHEMBL1424340,CCN(CC)C(=O)CSc1nc2ccc(NC(=O)CSc3nccn3C)cc2s1,'=',3610,5.44,active
CHEMBL1424562,O=C(Nc1ccccc1)c1nnsc1[S+]([O-])c1ccc(Cl)cc1,'=',11892,4.92,inactive
CHEMBL1424951,CC(NC(=O)CN(c1cccc(C(F)(F)F)c1)S(=O)(=O)c1ccc(Cl)c([N+](=O)[O-])c1)c1ccccc1,,49751,,inactive
